Graph,n,m,Result,Time Taken(ms),,Total(s),=SUM(E:E)/1000
KonigGraph-50-129,100,247,Unique,34
KonigGraph-50-130,100,268,Unique,33
KonigGraph-50-131,100,283,Unique,28
KonigGraph-50-132,100,318,Unique,32
KonigGraph-50-133,100,317,Unique,29
KonigGraph-50-134,100,350,Unique,39
KonigGraph-50-135,100,379,Unique,34
KonigGraph-50-136,100,634,Unique,43
KonigGraph-50-137,100,873,Unique,45
KonigGraph-50-138,100,1137,Unique,50
KonigGraph-50-139,100,1359,Unique,57
KonigGraph-50-140,100,1630,Unique,62
KonigGraph-50-141,100,1866,Unique,70
KonigGraph-50-142,100,2096,Unique,73
KonigGraph-50-143,100,2347,Unique,79
KonigGraph-50-144,100,247,Unique,31
KonigGraph-50-145,100,246,Not Unique,25
KonigGraph-50-146,100,249,Unique,28
KonigGraph-50-147,100,258,Unique,27
KonigGraph-50-148,100,279,Unique,32
KonigGraph-50-149,100,294,Unique,27
KonigGraph-50-150,100,329,Unique,40
KonigGraph-50-151,100,328,Unique,30
KonigGraph-50-152,100,361,Unique,41
KonigGraph-50-153,100,390,Unique,35
KonigGraph-50-154,100,645,Unique,40
KonigGraph-50-155,100,884,Unique,52
KonigGraph-50-156,100,1148,Unique,53
KonigGraph-50-157,100,1370,Unique,60
KonigGraph-50-158,100,1641,Unique,63
KonigGraph-50-159,100,1877,Unique,68
KonigGraph-50-160,100,2107,Unique,74
KonigGraph-50-161,100,2358,Unique,85
KonigGraph-50-162,100,258,Unique,32
KonigGraph-50-163,100,259,Not Unique,28
KonigGraph-50-164,100,262,Unique,30
KonigGraph-50-165,100,271,Unique,30
KonigGraph-50-166,100,292,Unique,29
KonigGraph-50-167,100,307,Unique,34
KonigGraph-50-168,100,342,Unique,33
KonigGraph-50-169,100,341,Unique,32
KonigGraph-50-170,100,374,Unique,37
KonigGraph-50-171,100,403,Unique,30
KonigGraph-50-172,100,658,Unique,41
KonigGraph-50-173,100,897,Unique,48
KonigGraph-50-174,100,1161,Unique,55
KonigGraph-50-175,100,1383,Unique,69
KonigGraph-50-176,100,1654,Unique,64
KonigGraph-50-177,100,1890,Unique,69
KonigGraph-50-178,100,2120,Unique,78
KonigGraph-50-179,100,2371,Unique,79
KonigGraph-50-180,100,271,Unique,32
KonigGraph-50-181,100,263,Not Unique,31
KonigGraph-50-182,100,266,Unique,32
KonigGraph-50-183,100,275,Unique,33
KonigGraph-50-184,100,296,Unique,35
KonigGraph-50-185,100,311,Unique,35
KonigGraph-50-186,100,346,Unique,33
KonigGraph-50-187,100,345,Unique,29
KonigGraph-50-188,100,378,Unique,46
KonigGraph-50-189,100,407,Unique,32
KonigGraph-50-190,100,662,Unique,37
KonigGraph-50-191,100,901,Unique,40
KonigGraph-50-192,100,1165,Unique,54
KonigGraph-50-193,100,1387,Unique,58
KonigGraph-50-194,100,1658,Unique,66
KonigGraph-50-195,100,1894,Unique,68
KonigGraph-50-196,100,2124,Unique,75
KonigGraph-50-197,100,2375,Unique,81
KonigGraph-50-198,100,275,Unique,30
KonigGraph-50-199,100,399,Not Unique,33
KonigGraph-50-200,100,402,Unique,39
KonigGraph-50-201,100,411,Unique,35
KonigGraph-50-202,100,432,Unique,39
KonigGraph-50-203,100,447,Unique,40
KonigGraph-50-204,100,482,Unique,42
KonigGraph-50-205,100,481,Unique,39
KonigGraph-50-206,100,514,Unique,40
KonigGraph-50-207,100,543,Unique,39
KonigGraph-50-208,100,798,Unique,47
